station,description,fournisseur_nom,fournisseur_url,plan_deau,dern_valeur_deb,dern_valeur_niv,previsions,dern_date_prise_valeur_utc,refoulement,etat,url_vigilance
"040106",Au lac Manitou à Sainte-Agathe-des-Monts,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040106,Lac Manitou,,389.516,non,2025/10/28 15:00:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/376
"040412",575 m en amont du lac Schryer,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040412,Ruisseau Schryer,0.1158,48.224,oui,2025/10/28 15:30:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1265
"707",À la Baie de Rigaud,Hydro Météo,https://www.hydrometeo.net/,Rivière des Outaouais,,21.7679996490479,non,2025/10/28 18:15:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/1264
"013105",au Centre des loisirs Guy-Pelletier,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=013105,Lac Pohénégamook,,206.803,non,2025/10/28 15:30:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1266
"030356",à Acton Vale,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030356,Rivière le Renne,0.6242,48.643,oui,2025/10/28 15:30:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1271
"030601",amont du pont Montée Monette à Saint-Philippe,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030601,Rivière Saint-Jacques,0.1226,46.212,oui,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1272
"040411",à la marina Lac Simon,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040411,Lac Simon,,197.815,non,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1275
Saint-Georges,Au pont-route 271 à Saint-Georges,Cobaric,https://rivierechaudiere.ca/stations/,Rivière Chaudière,,161.85,non,2025/10/28 18:20:21,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/574
"506",Au traversier de Quyon,Hydro Météo,https://www.hydrometeo.net/,Rivière Quyon                                                                                                                                                                                                                                                 ,,57.5950698852539,non,2025/10/28 18:20:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/998
"050309","à 7,5 km de sa confluence avec la rivière Batiscan","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050309,Rivière à Pierre,3.062,46.527,oui,2025/10/28 15:00:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1296
